TIME,COURSE,IM_MSHS_CLASS,IM_MSHS_CLUB,IM_COMPETIT,IM_AFTERSCHOOL,IM_SUMMERCAMP,IM_APCLASS,IM_DUAL,IM_FAM_INFLU,IM_FAM_WORK,IM_HSTEACH,IM_EMPLOY,IM_STUDENT,IM_WORK,IM_OTHER,DEG_PROGRAM,MOT_JOB,MOT_BACH,MOT_HS,MOT_CAR_AD,MOT_CAR_CHG,MOT_PROFDEV,MOT_JOBDIS,MOT_RELOC,MOT_CURRENT,MOT_IT_CERT,MOT_FINAN,MOT_PERS,FIRST_CHOICE,MORE_CLASS,MORE_CLASS_WHY,GENDER,AGE
2020/07/28 3:21:36 PM EST,CMP 239 Internet & Web Page Design,0,0,0,0,0,0,0,2,0,0,0,2,0,0,Computer Science,1,1,,1,1,1,,1,1,,1,1,First Choice,,,Man,21-24
2020/07/28 4:07:22 PM EST,CMP 239 Internet & Web Page Design,0,0,0,0,0,0,0,0,1,0,0,1,0,0,Information Tech0logy,1,1,,,,,,,,1,1,,Nursing,,,Woman,25-34
2020/07/28 8:12:47 PM EST,CMP 239 Internet & Web Page Design,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,2,N/A,N/A,N/A,N/A,N/A,Information Tech0logy,1,1,,1,1,1,,,,,1,1,First Choice,,,Man,35-64
2020/07/29 10:53:03 AM EST,CMP 239 Internet & Web Page Design,1,1,0,0,0,2,0,2,2,0,0,0,1,1,0n Degree seeking,,,,,,,,,,,,,,4,"I would love to learn more about coding and programming , especially about other programming languages that can code high-level programs. I think coding is an important part of every field in the future, which is a part of our modernized future. It's also interesting to me, and I'd like to learn more about it.",Woman,18 and younger
2020/07/29 4:26:21 PM EST,CMP 239 Internet & Web Page Design,0,0,0,0,0,0,0,2,0,0,0,0,0,2,Computer Science,1,1,,,1,,,,,1,,,First Choice,,,Man,25-34
2020/07/30 1:10:46 PM EST,CMP 239 Internet & Web Page Design,2,N/A,1,N/A,N/A,2,N/A,2,2,2,0,1,0,0,Computer Science,1,1,,1,,,,,,,,1,First Choice,,,Man,19-20
2020/07/30 6:01:39 PM EST,CMP 239 Internet & Web Page Design,1,0,0,0,0,0,0,1,0,0,0,0,1,0,Web Development Certificate of Achievement,1,,,1,1,1,,,,,1,1,Business,,,Woman,35-64
2020/07/30 7:58:48 PM EST,CMP 239 Internet & Web Page Design,1,1,1,N/A,1,1,1,1,1,1,1,1,1,N/A,Information Tech0logy,,1,,1,1,,,,,1,,,First Choice,,,Man,25-34
2020/07/31 1:58:09 PM EST,CMP 239 Internet & Web Page Design,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Information Tech0logy,1,1,,,,,,,,,,,N/A,,,Man,21-24
2020/08/02 7:04:38 PM EST,CMP 239 Internet & Web Page Design,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Computer Science,1,,,,,,,,,,,,First Choice,,,Man,21-24
2020/08/03 11:24:59 AM EST,CMP 239 Internet & Web Page Design,1,0,1,0,0,1,1,1,1,1,0,1,0,0,Information Tech0logy,1,1,1,,,,,,,,1,,First Choice,,,Man,18 and younger
2020/08/03 12:00:01 PM EST,CMP 239 Internet & Web Page Design,0,0,0,0,0,0,0,0,0,0,0,0,1,2,Engineering,,,,,,,,,,,,,,5,"I'm making a shift from Engineering to IT, as it is more clear and manageable for me to complete my degree and take the next steps to more education or launching my career, in addition to the significantly greater support from the IT and Computer Science faculty and staff than the Engineering department",Man,25-34
2020/08/03 2:01:43 PM EST,CMP 239 Internet & Web Page Design,2,0,0,0,0,0,0,0,1,2,0,1,0,N/A,Digital Media Tech0logy,1,,,,,,,,,,,,Animation ,,,Man,19-20
2020/09/08 10:47:44 PM EST,CMP 128 Computer Science I,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Undecided,,,,,,,,,,,,,,5,It is already the future.,Man,25-34
2020/09/09 9:21:38 AM EST,CMP 128 Computer Science I,2,2,2,N/A,N/A,2,1,0,0,1,0,0,0,N/A,Computer Science,1,,,,,,,,1,,,,First Choice,,,Man,18 and younger
2020/09/09 9:27:47 AM EST,CMP 128 Computer Science I,1,0,0,0,0,0,0,2,2,1,0,0,0,0,Computer Science,,,,,,,,,,,1,,Game Development,,,Woman,18 and younger
