TIME,COURSE,IMP_MSHS_CLASS,IM_MSHS_CLUB,IM_COMPETIT,IM_AFTERSCHOOL,IM_SUMMERCAMP,IM_APCLASS,IM_DUAL,IM_FAM_INFLU,IM_FAM_WORK,IM_HSTEACH,IM_EMPLOY,IM_STUDENT,IM_WORK,IM_OTHER,DEG_PROGRAM,MOT_JOB,MOT_BACH,MOT_HS,MOT_CAR_AD,MOT_CAR_CHG,MOT_PROFDEV,MOT_JOBDIS,MOT_RELOC,MOT_CURRENT,MOT_IT_CERT,MOT_FINAN,MOT_PERS,FIRST_CHOICE,MORE_CLASS,MORE_CLASS_WHY,GENDER,AGE
2020/07/28 3:21:36 PM EST,CMP 239 Internet & Web Page Design,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,Computer Science,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,,Yes,Yes,First Choice,,,Man,21-24
2020/07/28 4:07:22 PM EST,CMP 239 Internet & Web Page Design,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,Information Technology,Yes,Yes,,,,,,,,Yes,Yes,,Nursing,,,Woman,25-34
2020/07/28 8:12:47 PM EST,CMP 239 Internet & Web Page Design,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High Impact,High Impact,N/A,N/A,N/A,N/A,N/A,Information Technology,Yes,Yes,,Yes,Yes,Yes,,,,,Yes,Yes,First Choice,,,Man,35-64
2020/07/29 10:53:03 AM EST,CMP 239 Internet & Web Page Design,Some Impact,Some Impact,No Impact,No Impact,No Impact,High Impact,No Impact,High Impact,High Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,Non Degree seeking,,,,,,,,,,,,,,4,"I would love to learn more about coding and programming , especially about other programming languages that can code high-level programs. I think coding is an important part of every field in the future, which is a part of our modernized future. It's also interesting to me, and I'd like to learn more about it.",Woman,18 and younger
2020/07/29 4:26:21 PM EST,CMP 239 Internet & Web Page Design,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,Computer Science,Yes,Yes,,,Yes,,,,,Yes,,,First Choice,,,Man,25-34
2020/07/30 1:10:46 PM EST,CMP 239 Internet & Web Page Design,High Impact,N/A,Some Impact,N/A,N/A,High Impact,N/A,High Impact,High Impact,High Impact,No Impact,Some Impact,No Impact,No Impact,Computer Science,Yes,Yes,,Yes,,,,,,,,Yes,First Choice,,,Man,19-20
2020/07/30 6:01:39 PM EST,CMP 239 Internet & Web Page Design,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,Web Development Certificate of Achievement,Yes,,,Yes,Yes,Yes,,,,,Yes,Yes,Business,,,Woman,35-64
2020/07/30 7:58:48 PM EST,CMP 239 Internet & Web Page Design,Some Impact,Some Impact,Some Impact,N/A,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,N/A,Information Technology,,Yes,,Yes,Yes,,,,,Yes,,,First Choice,,,Man,25-34
2020/07/31 1:58:09 PM EST,CMP 239 Internet & Web Page Design,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Information Technology,Yes,Yes,,,,,,,,,,,N/A,,,Man,21-24
2020/08/02 7:04:38 PM EST,CMP 239 Internet & Web Page Design,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Computer Science,Yes,,,,,,,,,,,,First Choice,,,Man,21-24
2020/08/03 11:24:59 AM EST,CMP 239 Internet & Web Page Design,Some Impact,No Impact,Some Impact,No Impact,No Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,Information Technology,Yes,Yes,Yes,,,,,,,,Yes,,First Choice,,,Man,18 and younger
